day,country,Arrivals
2020-02-01,Belgium,1
2020-02-01,France,6
2020-02-01,Germany,6
2020-02-01,Iceland,1
2020-02-01,Italy,1
2020-02-01,Netherlands,8
2020-02-01,Portugal,1
2020-02-01,Russia,1
2020-02-01,Spain,2
2020-02-01,Sweden,1
2020-02-01,Switzerland,3
2020-02-01,United Kingdom,37
2020-02-01,United States,11
2020-02-02,Belgium,1
2020-02-02,Czechia,1
2020-02-02,Denmark,1
2020-02-02,France,8
2020-02-02,Germany,11
2020-02-02,Hungary,2
2020-02-02,Iceland,1
2020-02-02,Italy,1
2020-02-02,Netherlands,8
2020-02-02,Portugal,2
2020-02-02,Russia,1
2020-02-02,Spain,2
2020-02-02,Sweden,2
2020-02-02,Switzerland,3
2020-02-02,United Kingdom,42
2020-02-02,United States,9
2020-02-03,Belgium,1
2020-02-03,Czechia,1
2020-02-03,Denmark,1
2020-02-03,France,8
2020-02-03,Germany,10
2020-02-03,Hungary,1
2020-02-03,Iceland,1
2020-02-03,Italy,1
2020-02-03,Netherlands,9
2020-02-03,Portugal,2
2020-02-03,Russia,1
2020-02-03,Spain,1
2020-02-03,Sweden,1
2020-02-03,Switzerland,2
2020-02-03,Turkey,1
2020-02-03,United Kingdom,48
2020-02-03,United States,9
2020-02-04,France,8
2020-02-04,Germany,8
2020-02-04,Iceland,1
2020-02-04,Italy,1
2020-02-04,Netherlands,9
2020-02-04,Norway,1
2020-02-04,Portugal,1
2020-02-04,Spain,1
2020-02-04,Sweden,2
2020-02-04,Switzerland,1
2020-02-04,United Kingdom,41
2020-02-04,United States,10
2020-02-05,Belgium,1
2020-02-05,France,10
2020-02-05,Germany,9
2020-02-05,Iceland,1
2020-02-05,Italy,1
2020-02-05,Netherlands,8
2020-02-05,Portugal,2
2020-02-05,Spain,1
2020-02-05,Sweden,1
2020-02-05,Switzerland,1
2020-02-05,United Kingdom,41
2020-02-05,United States,8
2020-02-06,France,8
2020-02-06,Germany,10
2020-02-06,Hungary,1
2020-02-06,Iceland,1
2020-02-06,Italy,1
